type,index,status,time_total_ms
health,5,200,82
health,1,200,86
health,2,200,86
health,3,200,85
health,4,200,85
health,6,200,52
health,9,200,66
health,10,200,69
health,7,200,70
health,8,200,69
health,11,200,60
health,14,200,57
health,13,200,57
health,15,200,59
health,12,200,68
health,16,200,45
health,17,200,45
health,19,200,51
health,20,200,49
health,18,200,53
health,21,200,56
health,22,200,63
health,25,200,53
health,23,200,53
health,24,200,55
health,26,200,48
health,28,200,46
health,27,200,53
health,30,200,49
health,29,200,51
health,31,200,73
health,34,200,74
health,32,200,74
health,35,200,74
health,33,200,107
health,36,200,55
health,39,200,53
health,38,200,52
health,37,200,57
health,41,200,90
health,40,200,91
health,44,200,68
health,43,200,68
health,42,200,74
health,45,200,70
health,46,200,70
health,49,200,55
health,47,200,56
health,48,200,56
health,50,200,48
